StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
2017-11-28 02:48:38,2017-11-28 02:48:52,IP Address,162.244.139.237,2,14,False,2017-11-28 06:49:39,R_ANFanXu8Naslpol,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58655025,Science,
2017-11-28 06:53:11,2017-11-28 06:54:55,IP Address,174.110.6.227,100,104,True,2017-11-28 06:54:55,R_2YtWXgUyI5EQhE7,,,,,35.024597167969,-78.996803283691,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Strongly Disagree,Undecided,Undecided,,1965,Female,31565201,PopCulture,
2017-11-28 06:53:36,2017-11-28 06:55:34,IP Address,192.208.59.190,100,117,True,2017-11-28 06:55:34,R_1QckeYsxfyKOtbn,,,,,37.403305053711,-119.61380004883,anonymous,EN,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1984,Female,25867292,Science,
2017-11-28 06:59:42,2017-11-28 07:01:32,IP Address,71.120.236.118,100,110,True,2017-11-28 07:01:33,R_1rcWYTpeCrG97Qv,,,,,36.837203979492,-76.14640045166,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,,1989,Female,56545272,PopCulture,
2017-11-28 07:03:23,2017-11-28 07:07:42,IP Address,99.120.144.62,100,259,True,2017-11-28 07:07:43,R_3L1LAiJFZuAW0KY,,,,,32.796401977539,-117.06900024414,anonymous,EN,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Undecided,,,,,,,,,,,,,,,,,,,,,,1953,Male,59294348,Science,
2017-11-28 07:08:55,2017-11-28 07:12:21,IP Address,65.41.99.18,100,205,True,2017-11-28 07:12:21,R_2rNSuoZkoPVxcT4,,,,,38.551605224609,-92.27449798584,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Disagree,Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,,1975,Female,69548857,PopCulture,
2017-11-28 07:11:40,2017-11-28 07:13:35,IP Address,24.172.40.220,100,114,True,2017-11-28 07:13:36,R_290W0UlRLmLvV20,,,,,34.670104980469,-79.914199829102,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Disagree,,1978,Male,53418598,PopCulture,
2017-11-28 06:55:06,2017-11-28 07:14:50,IP Address,24.104.113.34,100,1183,True,2017-11-28 07:14:50,R_b2UC2pe2zljggGB,,,,,40.272796630859,-76.889503479004,anonymous,EN,Strongly Disagree,Strongly Agree,Undecided,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1994,Male,88470679,Science,
2017-11-28 07:18:17,2017-11-28 07:25:08,IP Address,99.182.29.66,100,411,True,2017-11-28 07:25:09,R_Cabn9S2mZXpPqWl,,,,,33.021697998047,-97.222396850586,anonymous,EN,Agree,Agree,Agree,Agree,Undecided,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Undecided,Strongly Disagree,Agree,Disagree,Disagree,Agree,Undecided,,,,,,,,,,,,,,,,,,,,,,1966,Female,63757892,Science,
2017-11-28 07:39:38,2017-11-28 07:41:56,IP Address,107.195.14.24,100,138,True,2017-11-28 07:41:56,R_24pYFmowlYsNawp,,,,,34.148300170898,-84.140403747559,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Strongly Agree,Disagree,Strongly Disagree,Undecided,Undecided,Undecided,Disagree,Agree,Strongly Agree,Undecided,Agree,Undecided,Undecided,Disagree,Disagree,Undecided,Disagree,Agree,,1988,Male,57803602,PopCulture,
2017-11-28 07:54:57,2017-11-28 07:56:13,IP Address,174.49.195.102,100,76,True,2017-11-28 07:56:14,R_2Ytifld2RXTJKKR,,,,,39.917098999023,-76.725601196289,anonymous,EN,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Undecided,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Undecided,Undecided,Undecided,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1978,Female,85991398,Science,
2017-11-28 08:02:44,2017-11-28 08:06:48,IP Address,99.13.251.138,100,243,True,2017-11-28 08:06:49,R_3NKdr2BHILJSRfC,,,,,28.996994018555,-81.056297302246,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Undecided,Strongly Disagree,Undecided,Undecided,Undecided,Strongly Agree,Strongly Agree,Undecided,Strongly Disagree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,,1951,Female,75478591,PopCulture,
2017-11-28 10:00:39,2017-11-28 10:03:03,IP Address,24.208.204.197,100,143,True,2017-11-28 10:03:04,R_20YCaPCNfWzb5Xd,,,,,39.964904785156,-83.138298034668,anonymous,EN,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1963,Female,80859033,Science,
2017-11-28 12:40:56,2017-11-28 12:43:10,IP Address,12.7.116.122,100,134,True,2017-11-28 12:43:11,R_3246r6b8SxUqA66,,,,,33.846801757812,-117.95729827881,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Undecided,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Undecided,Strongly Agree,Undecided,Agree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Strongly Disagree,,1988,Male,21891674,PopCulture,
2017-11-28 12:40:45,2017-11-28 12:43:07,IP Address,8.34.136.178,100,141,True,2017-11-28 12:43:11,R_1FHn4aoukwbK18J,,,,,38.325805664062,-94.969902038574,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Strongly Disagree,Undecided,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Undecided,,1978,Female,85596578,PopCulture,
2017-11-28 12:48:40,2017-11-28 12:50:51,IP Address,24.154.176.123,100,131,True,2017-11-28 12:50:51,R_0If94T5mai8f0tj,,,,,40.914001464844,-79.931999206543,anonymous,EN,Agree,Disagree,Agree,Disagree,Agree,Undecided,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Undecided,Disagree,Undecided,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1952,Female,25726318,Science,
2017-11-28 12:54:58,2017-11-28 12:57:45,IP Address,99.48.224.194,100,166,True,2017-11-28 12:57:45,R_2eR1qYiriDsptHs,,,,,29.640899658203,-98.415901184082,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Agree,Strongly Disagree,Undecided,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,,1985,Female,99741492,PopCulture,
2017-11-28 13:05:35,2017-11-28 13:07:25,IP Address,71.223.28.151,100,110,True,2017-11-28 13:07:26,R_De0TRYU8cMxjZkt,,,,,33.509094238281,-112.02649688721,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Agree,Undecided,Strongly Agree,Undecided,Agree,Undecided,Agree,Agree,Strongly Agree,Agree,Undecided,Strongly Disagree,Agree,Undecided,Agree,Disagree,Agree,Agree,,1992,Male,67963869,PopCulture,
2017-11-28 09:59:11,2017-11-28 09:59:28,IP Address,68.42.175.49,11,17,False,2017-11-28 13:59:28,R_2CCay8KKU6Jpo86,,,,,,,anonymous,EN,,,,,,,,,,Undecided,Undecided,,Undecided,,,,,,,Undecided,,,,,,,,,,,,,,,,,,,,,,,,86531912,Science,
2017-11-28 10:00:01,2017-11-28 10:00:10,IP Address,68.42.175.49,48,9,False,2017-11-28 14:00:12,R_2uI0Swk3Byen1hT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42315588,PopCulture,
